                              0         1  prob_ratio
with iran              0.000647  0.000195    3.314265
child in               0.000783  0.000283    2.768220
the great              0.000647  0.000283    2.284990
bin laden              0.001272  0.000564    2.254022
a war                  0.000822  0.000371    2.217593
there wa               0.000588  0.000265    2.215500
that is                0.001154  0.000547    2.112075
the gaza               0.000627  0.000301    2.086369
military base          0.000549  0.000265    2.068291
a french               0.000510  0.000248    2.057328
and more               0.000627  0.000318    1.971100
the attack             0.000451  0.000230    1.959850
time the               0.000725  0.000371    1.954221
been arrested          0.000686  0.000353    1.940856
the german             0.000783  0.000406    1.929366
worth of               0.000510  0.000265    1.921081
the south              0.000744  0.000388    1.916085
up in                  0.001154  0.000617    1.871382
suspected of           0.000588  0.000318    1.848290
minister of            0.000451  0.000248    1.820854
why the                0.000607  0.000336    1.809711
angela merkel          0.000588  0.000336    1.751521
a member               0.000432  0.000248    1.742029
the face               0.000490  0.000283    1.732726
india to               0.000490  0.000283    1.732726
after he               0.000549  0.000318    1.725480
osama bin              0.000725  0.000424    1.710957
without a              0.000451  0.000265    1.700267
the former             0.000568  0.000336    1.693331
the largest            0.000822  0.000494    1.665168
force in               0.000647  0.000388    1.664631
evidence that          0.000471  0.000283    1.663694
cold war               0.000471  0.000283    1.663694
to sign                0.000471  0.000283    1.663694
investigation into     0.000607  0.000371    1.638174
child abuse            0.000490  0.000301    1.631397
to defend              0.000490  0.000301    1.631397
spy agency             0.000490  0.000301    1.631397
i dont                 0.000432  0.000265    1.626663
on monday              0.001311  0.000810    1.617722
30 year                0.000568  0.000353    1.609085
sexual abuse           0.000568  0.000353    1.609085
who ha                 0.000510  0.000318    1.602670
failing to             0.000510  0.000318    1.602670
after it               0.000647  0.000406    1.592569
with an                0.000588  0.000371    1.585500
nuclear plant          0.000920  0.000582    1.581521
set up                 0.000725  0.000459    1.579849
central bank           0.000529  0.000336    1.576951
convicted of           0.000666  0.000424    1.572604
the time               0.000471  0.000301    1.566402
to gaza                0.000471  0.000301    1.566402
civil war              0.000744  0.000476    1.562564
threatens to           0.001096  0.000705    1.554894
in turkey              0.000822  0.000529    1.554525
al qaeda               0.000822  0.000529    1.554525
to try                 0.000412  0.000265    1.553058
lot of                 0.000412  0.000265    1.553058
get a                  0.000412  0.000265    1.553058
child and              0.000412  0.000265    1.553058
in saudi               0.000764  0.000494    1.546510
away from              0.000627  0.000406    1.544455
year to                0.000490  0.000318    1.541265
around the             0.001350  0.000880    1.532931
jail for               0.000568  0.000371    1.532825
on u                   0.000568  0.000371    1.532825
people who             0.000568  0.000371    1.532825
the north              0.000588  0.000388    1.513758
that a                 0.000959  0.000634    1.511668
fighter jet            0.000666  0.000441    1.509951
in sweden              0.000451  0.000301    1.501406
to investigate         0.000451  0.000301    1.501406
picture of             0.000607  0.000406    1.496341
to cut                 0.000842  0.000564    1.492294
by police              0.000705  0.000476    1.480540
the ground             0.000705  0.000476    1.480540
to hold                0.000549  0.000371    1.480151
gaza strip             0.000471  0.000318    1.479860
sex abuse              0.000725  0.000494    1.467404
member of              0.002014  0.001373    1.467202
the real               0.000490  0.000336    1.460570
to close               0.000490  0.000336    1.460570
from u                 0.000412  0.000283    1.456595
now in                 0.000412  0.000283    1.456595
for killing            0.000412  0.000283    1.456595
death in               0.001076  0.000740    1.454627
in public              0.000588  0.000406    1.448227
just a                 0.000686  0.000476    1.439528
if the                 0.000861  0.000599    1.437363
in norway              0.000432  0.000301    1.436410
said to                0.000432  0.000301    1.436410
of canada              0.000432  0.000301    1.436410
in russia              0.001486  0.001039    1.431131
said the               0.000705  0.000494    1.427852
on their               0.000627  0.000441    1.421391
to show                0.000451  0.000318    1.418455
report of              0.000451  0.000318    1.418455
two year               0.000725  0.000511    1.416978
of them                0.000725  0.000511    1.416978
leader of              0.000822  0.000582    1.413632
strike in              0.000647  0.000459    1.409515
after being            0.001311  0.000933    1.404463
up the                 0.000666  0.000476    1.398515
ordered to             0.000666  0.000476    1.398515
had been               0.000861  0.000617    1.396412
of child               0.000881  0.000634    1.388518
nuclear weapon         0.000783  0.000564    1.388422
world bank             0.000686  0.000494    1.388299
victim of              0.000686  0.000494    1.388299
nuclear reactor        0.000588  0.000424    1.388135
the highest            0.000490  0.000353    1.387905
a muslim               0.000490  0.000353    1.387905
to face                0.000393  0.000283    1.387562
expert say             0.000393  0.000283    1.387562
in iran                0.001193  0.000863    1.383063
in africa              0.000705  0.000511    1.378784
allowed to             0.000705  0.000511    1.378784
pirate party           0.000607  0.000441    1.377111
you are                0.000510  0.000371    1.374802
