                                 0         1  prob_ratio
child in                  0.000880  0.000380    2.315104
bin laden                 0.001216  0.000577    2.105889
a war                     0.000824  0.000396    2.077701
that is                   0.001216  0.000627    1.940071
the gaza                  0.000693  0.000364    1.906089
the german                0.000805  0.000429    1.874987
why the                   0.000618  0.000331    1.869793
the former                0.000637  0.000347    1.834989
the great                 0.000674  0.000380    1.774421
suspected of              0.000637  0.000364    1.751958
been arrested             0.000693  0.000396    1.747907
force in                  0.000693  0.000396    1.747907
investigation into        0.000693  0.000396    1.747907
up in                     0.001141  0.000676    1.687955
in the country            0.001141  0.000676    1.687955
after he                  0.000581  0.000347    1.673553
on monday                 0.001421  0.000857    1.658473
threatens to              0.001141  0.000693    1.647861
in turkey                 0.000861  0.000528    1.630637
time the                  0.000693  0.000429    1.613968
in saudi arabia           0.000693  0.000429    1.613968
in public                 0.000637  0.000396    1.606567
civil war                 0.000730  0.000462    1.579909
sexual abuse              0.000600  0.000380    1.577809
around the world          0.001010  0.000643    1.571021
jail for                  0.000618  0.000396    1.559454
and more                  0.000618  0.000396    1.559454
angela merkel             0.000581  0.000380    1.528657
around the                0.001459  0.000956    1.526288
to cut                    0.000880  0.000577    1.523615
nuclear plant             0.000954  0.000627    1.522851
after it                  0.000693  0.000462    1.499095
out in                    0.000618  0.000413    1.497324
story of                  0.000544  0.000364    1.495072
the south                 0.000786  0.000528    1.489150
set up                    0.000712  0.000479    1.486598
strike in                 0.000712  0.000479    1.486598
that a                    0.001029  0.000693    1.486042
there is no               0.000637  0.000429    1.483458
allowed to                0.000805  0.000544    1.478464
how the                   0.000730  0.000495    1.474931
two year                  0.000824  0.000561    1.468405
nuclear reactor           0.000581  0.000396    1.465227
after being               0.001328  0.000906    1.465141
said the                  0.000768  0.000528    1.453779
people are                0.001029  0.000709    1.451563
nuclear weapon            0.000861  0.000594    1.449957
say no                    0.000544  0.000380    1.430351
30 year                   0.000544  0.000380    1.430351
report that               0.000544  0.000380    1.430351
ha no                     0.000544  0.000380    1.430351
sex abuse                 0.000730  0.000512    1.427506
if the                    0.000917  0.000643    1.425825
in africa                 0.000749  0.000528    1.418407
new york                  0.000749  0.000528    1.418407
the ground                0.000749  0.000528    1.418407
year the                  0.000656  0.000462    1.418281
away from                 0.000656  0.000462    1.418281
the poor                  0.000562  0.000396    1.418113
to be the                 0.000562  0.000396    1.418113
gaza strip                0.000562  0.000396    1.418113
china to                  0.000861  0.000610    1.410875
fossil fuel               0.000768  0.000544    1.409858
pirate party              0.000674  0.000479    1.408561
leader of                 0.000880  0.000627    1.403645
had been                  0.000898  0.000643    1.396786
would have                0.000600  0.000429    1.396452
the largest               0.000805  0.000577    1.394221
convicted of              0.000712  0.000512    1.390997
by police                 0.000712  0.000512    1.390997
prison for                0.000917  0.000660    1.390268
death in                  0.001123  0.000808    1.389807
in iran                   0.001328  0.000956    1.389489
if it                     0.000730  0.000528    1.383035
link to                   0.000525  0.000380    1.381198
time to                   0.000525  0.000380    1.381198
to join                   0.001085  0.000791    1.371490
for all                   0.000544  0.000396    1.371000
war with                  0.000544  0.000396    1.371000
to hold                   0.000544  0.000396    1.371000
cost of                   0.000544  0.000396    1.371000
people who                0.000656  0.000479    1.369543
in russia                 0.001552  0.001137    1.365477
of them                   0.000786  0.000577    1.361873
have the                  0.000674  0.000495    1.361765
a million                 0.000562  0.000413    1.361615
hong kong                 0.001403  0.001038    1.351363
world bank                0.000712  0.000528    1.347663
a young                   0.000712  0.000528    1.347663
suicide bomber            0.000973  0.000725    1.341407
able to                   0.000973  0.000725    1.341407
power plant               0.000730  0.000544    1.341252
in saudi                  0.000730  0.000544    1.341252
world biggest             0.000618  0.000462    1.337467
south africa              0.001496  0.001120    1.335509
must be                   0.000749  0.000561    1.335216
did not                   0.000880  0.000660    1.333638
australian government     0.000506  0.000380    1.332045
he said                   0.000506  0.000380    1.332045
court of                  0.000637  0.000479    1.330525
the u and                 0.000637  0.000479    1.330525
hit by                    0.000898  0.000676    1.328816
a part of                 0.000898  0.000676    1.328816
a part                    0.000898  0.000676    1.328816
to allow                  0.000917  0.000693    1.324222
fire on                   0.000786  0.000594    1.324148
on their                  0.000656  0.000495    1.324043
ordered to                0.000656  0.000495    1.324043
in gaza                   0.002000  0.001515    1.320357
all the                   0.000936  0.000709    1.319842
were killed               0.000674  0.000512    1.317978
fighter jet               0.000674  0.000512    1.317978
is an                     0.000674  0.000512    1.317978
they will                 0.000674  0.000512    1.317978
are a                     0.000544  0.000413    1.316378
al qaeda                  0.000824  0.000627    1.314241
just a                    0.000693  0.000528    1.312292
the police                0.000842  0.000643    1.309668
dalai lama                0.000562  0.000429    1.309446
country in the            0.000562  0.000429    1.309446
of this                   0.000562  0.000429    1.309446
it will                   0.001552  0.001186    1.308661
victim of                 0.000712  0.000544    1.306949
support for               0.000712  0.000544    1.306949
the biggest               0.000861  0.000660    1.305323
a country                 0.000581  0.000446    1.303025
a massive                 0.000581  0.000446    1.303025
member of                 0.002038  0.001564    1.302584
are not                   0.001197  0.000923    1.297349
part of a                 0.000600  0.000462    1.297060
when the                  0.000600  0.000462    1.297060
by u                      0.000917  0.000709    1.293498
of human                  0.000768  0.000594    1.292695
to do                     0.001085  0.000841    1.290972
there is                  0.001421  0.001104    1.287727
the north                 0.000637  0.000495    1.286321
than a                    0.000805  0.000627    1.284440
on tuesday                0.001291  0.001005    1.284098
south african             0.000973  0.000758    1.283212
to help                   0.002112  0.001647    1.282892
to run                    0.000487  0.000380    1.282892
world is                  0.000487  0.000380    1.282892
close to                  0.000656  0.000512    1.281469
is no                     0.000992  0.000775    1.280074
to kill                   0.001347  0.001054    1.277141
with u                    0.000674  0.000528    1.276920
have no                   0.000674  0.000528    1.276920
from their                0.000506  0.000396    1.276773
case of                   0.000861  0.000676    1.273564
called for                0.000525  0.000413    1.271142
world news                0.000525  0.000413    1.271142
five year                 0.000880  0.000693    1.270282
way to                    0.000898  0.000709    1.267154
a police                  0.000544  0.000429    1.265943
million people            0.000730  0.000577    1.264827
of child                  0.000917  0.000725    1.264167
that would                0.000954  0.000758    1.258582
a many                    0.000581  0.000462    1.256654
the only                  0.000973  0.000775    1.255967
on u                      0.000600  0.000479    1.252488
life in                   0.000618  0.000495    1.248599
picture of                0.000637  0.000512    1.244960
to death in               0.000637  0.000512    1.244960
world most                0.000637  0.000512    1.244960
living in                 0.000637  0.000512    1.244960
can not                   0.001291  0.001038    1.243398
the border                0.000656  0.000528    1.241548
the country               0.006166  0.004970    1.240670
killed by                 0.001179  0.000956    1.233147
vladimir putin            0.001459  0.001186    1.229921
to remove                 0.000730  0.000594    1.229790
the military              0.000487  0.000396    1.229660
not only                  0.000487  0.000396    1.229660
u and                     0.001720  0.001400    1.228829
he wa                     0.001982  0.001614    1.228027
world first               0.000506  0.000413    1.225906
a muslim                  0.000506  0.000413    1.225906
aid to                    0.000525  0.000429    1.222439
the israeli               0.001085  0.000890    1.219384
court in                  0.000544  0.000446    1.219229
one of the                0.002729  0.002239    1.218859
in ukraine                0.001104  0.000906    1.217860
year of                   0.001104  0.000906    1.217860
during a                  0.000562  0.000462    1.216247
the region                0.000562  0.000462    1.216247
that it                   0.001702  0.001400    1.215487
the way                   0.000581  0.000479    1.213470
and is                    0.000880  0.000725    1.212673
uk government             0.000880  0.000725    1.212673
country in                0.000898  0.000742    1.210961
year old                  0.001814  0.001499    1.210215
to get                    0.001515  0.001252    1.210034
world war                 0.000936  0.000775    1.207754
be the                    0.001253  0.001038    1.207410
in canada                 0.001010  0.000841    1.202092
level of                  0.000674  0.000561    1.202027
up the                    0.000693  0.000577    1.200130
pirate bay                0.001048  0.000873    1.199582
is being                  0.001104  0.000923    1.196151
a man                     0.001104  0.000923    1.196151
oil spill                 0.000786  0.000660    1.192063
under the                 0.000786  0.000660    1.192063
year ago                  0.001272  0.001071    1.187757
if you                    0.000936  0.000791    1.182644
and china                 0.000469  0.000396    1.182546
south korean              0.000954  0.000808    1.181683
to become                 0.000954  0.000808    1.181683
to jail                   0.000487  0.000413    1.180669
it first                  0.000487  0.000413    1.180669
base in                   0.000506  0.000429    1.178936
the netherlands           0.000506  0.000429    1.178936
crime against             0.000506  0.000429    1.178936
amnesty international     0.000506  0.000429    1.178936
the last                  0.001552  0.001318    1.177959
a week                    0.000525  0.000446    1.177331
tax on                    0.000525  0.000446    1.177331
in prison for             0.000562  0.000479    1.174451
of all                    0.001160  0.000989    1.173218
of new                    0.000581  0.000495    1.173155
bbc news                  0.002393  0.002041    1.172030
up a                      0.000600  0.000512    1.171942
about to                  0.000618  0.000528    1.170805
a single                  0.000618  0.000528    1.170805
will have                 0.000618  0.000528    1.170805
to see                    0.000656  0.000561    1.168730
involved in               0.000693  0.000594    1.166885
new law                   0.000712  0.000610    1.166038
to protect                0.001477  0.001268    1.164886
in the u                  0.000768  0.000660    1.163748
banned from               0.000786  0.000676    1.163059
china is                  0.000824  0.000709    1.161777
we have                   0.000842  0.000725    1.161180
catholic church           0.000880  0.000758    1.160063
vow to                    0.000898  0.000775    1.159540
could be                  0.001888  0.001630    1.158348
ahead of                  0.000954  0.000824    1.158096
go to                     0.000954  0.000824    1.158096
to keep                   0.000992  0.000857    1.157226
to go                     0.001123  0.000972    1.154645
not to                    0.001403  0.001219    1.150756
to ban                    0.001440  0.001252    1.150353
the world                 0.010032  0.008737    1.148260
in pakistan               0.001720  0.001499    1.147897
to give                   0.001010  0.000890    1.135433
to take                   0.001683  0.001482    1.135433
to their                  0.000693  0.000610    1.135433
u government              0.000674  0.000594    1.135433
linked to                 0.001010  0.000890    1.135433
a much                    0.000562  0.000495    1.135433
that killed               0.000693  0.000610    1.135433
with an                   0.000562  0.000495    1.135433
a group                   0.000861  0.000758    1.135433
a group of                0.000674  0.000594    1.135433
a decade                  0.000469  0.000413    1.135433
release of                0.000469  0.000413    1.135433
said that                 0.000562  0.000495    1.135433
