,0,1,prob_ratio
with iran,0.0005647518652545109,0.00019090505024008857,2.9582866694425323
there wa,0.0005481902269772524,0.00022005085943704853,2.49119784571474
a french,0.000481943673868219,0.00020547795483856872,2.345476303026533
child in,0.0007800531628588697,0.00033663409622488905,2.3172137689158903
would not,0.00043225875903644387,0.00019090505024008857,2.2642604713328476
for insulting,0.0004488203973137022,0.00020547795483856872,2.184275182543609
bin laden,0.0010781626518495202,0.0005115089514066495,2.1078079843658126
a war,0.0007303682480270946,0.0003512070008233691,2.0795947868773133
place in,0.00039913548248192725,0.00020547795483856872,1.9424735018192254
that is,0.0010781626518495202,0.0005552276652020895,1.9418388517385836
the gaza,0.0006144367800862858,0.0003220611916264087,1.9078262021679193
the german,0.000713806609749836,0.00038035281002032906,1.876696033116423
why the,0.0005481902269772524,0.00029291538242944844,1.871496889069284
minister of,0.00046538203559096076,0.0002491966686340085,1.867529121243834
the former,0.0005647518652545109,0.0003074882870279288,1.8366613919287766
military base,0.000481943673868219,0.0002637695732324887,1.8271389984902837
not just,0.00039913548248192725,0.00022005085943704853,1.8138328725596762
held in,0.00039913548248192725,0.00022005085943704853,1.8138328725596762
without a,0.00039913548248192725,0.00022005085943704853,1.8138328725596762
pledge to,0.0003660122059274101,0.00020547795483856872,1.7812723813363003
the great,0.0005978751418090278,0.00033663409622488905,1.7760385787232207
india to,0.00046538203559096076,0.0002637695732324887,1.764350716755223
suspected of,0.0005647518652545109,0.0003220611916264087,1.753554541615258
been arrested,0.0006144367800862858,0.0003512070008233691,1.7495003762618662
investigation into,0.0006144367800862858,0.0003512070008233691,1.7495003762618662
force in,0.0006144367800862858,0.0003512070008233691,1.7495003762618662
a member,0.00038257384420466883,0.00022005085943704853,1.7385700977646688
march in,0.00038257384420466883,0.00022005085943704853,1.7385700977646688
said to,0.00043225875903644387,0.0002491966686340085,1.7346088990912474
police and,0.00039913548248192725,0.00023462376403552882,1.7011724456926136
up in,0.0010119160987404874,0.0005989463789975293,1.6894936412073405
after he,0.0005150669504227355,0.0003074882870279288,1.6750782782693527
footage of,0.00041569712075918556,0.0002491966686340085,1.6681487880149548
evidence that,0.00041569712075918556,0.0002491966686340085,1.6681487880149548
launched a,0.00041569712075918556,0.0002491966686340085,1.6681487880149548
full of,0.0003660122059274101,0.00022005085943704853,1.6633073229696598
half a,0.0003660122059274101,0.00022005085943704853,1.6633073229696598
anniversary of,0.0003660122059274101,0.00022005085943704853,1.6633073229696598
by israeli,0.0003660122059274101,0.00022005085943704853,1.6633073229696598
on monday,0.0012603406728993632,0.0007592483295808098,1.6599847820478084
threatens to,0.0010119160987404874,0.0006135192835960099,1.649363150917378
in sweden,0.000481943673868219,0.00029291538242944844,1.6453341230186158
the iranian,0.00043225875903644387,0.0002637695732324887,1.6387741532851
the face,0.00043225875903644387,0.0002637695732324887,1.6387741532851
in turkey,0.0007634915245816115,0.0004677902376112095,1.6321236810764008
and even,0.00038257384420466883,0.00023462376403552882,1.6305843774066129
the attack,0.00038257384420466883,0.00023462376403552882,1.6305843774066129
time the,0.0006144367800862858,0.00038035281002032906,1.6154390447475475
