,0,1,prob_ratio
child in,0.0008797259588265841,0.00037999420961204444,2.315103589932966
bin laden,0.0012159269621998005,0.0005773937990208986,2.1058885015074265
a war,0.0008236924582643814,0.0003964441753961157,2.0777009964678417
that is,0.0012159269621998005,0.0006267436963731121,1.9400705092627477
the gaza,0.0006929476236192414,0.00036354424382797294,1.9060888334327204
the german,0.0008050146247436468,0.0004293441069642579,1.8749870131806954
why the,0.0006182362895363044,0.00033064431225983095,1.8697926037526222
the former,0.0006369141230570388,0.0003470942780439019,1.8349888296818286
the great,0.0006742697900985076,0.00037999420961204444,1.7744212228573275
suspected of,0.0006369141230570388,0.00036354424382797294,1.7519576609179457
been arrested,0.0006929476236192414,0.0003964441753961157,1.747907187504692
force in,0.0006929476236192414,0.0003964441753961157,1.747907187504692
investigation into,0.0006929476236192414,0.0003964441753961157,1.747907187504692
up in,0.0011412156281168644,0.0006760935937253251,1.6879550977974558
in the country,0.0011412156281168644,0.0006760935937253251,1.6879550977974558
after he,0.0005808806224948357,0.0003470942780439019,1.673552862261139
on monday,0.0014213831309278784,0.0008570432173501083,1.6584731109857591
threatens to,0.0011412156281168644,0.000692543559509397,1.6478611524815998
in turkey,0.00086104812530585,0.0005280439016686852,1.630637381825317
time the,0.0006929476236192414,0.0004293441069642579,1.613967939420042
in saudi arabia,0.0006929476236192414,0.0004293441069642579,1.613967939420042
in public,0.0006369141230570388,0.0003964441753961157,1.6065669836633427
civil war,0.0007303032906607101,0.00046224403853240036,1.579908511052697
sexual abuse,0.0005995584560155706,0.00037999420961204444,1.5778094530116407
around the world,0.0010104707934717237,0.0006431936621571832,1.5710210670962514
jail for,0.0006182362895363044,0.0003964441753961157,1.5594535823828926
and more,0.0006182362895363044,0.0003964441753961157,1.5594535823828926
angela merkel,0.0005808806224948357,0.00037999420961204444,1.5286565105502172
around the,0.0014587387979693469,0.000955743012054536,1.526287694046053
to cut,0.0008797259588265841,0.0005773937990208986,1.5236151831182771
nuclear plant,0.0009544372929095212,0.0006267436963731121,1.5228510449051682
after it,0.0006929476236192414,0.00046224403853240036,1.499094776471996
out in,0.0006182362895363044,0.00041289414118018676,1.4973239575867618
story of,0.0005435249554533674,0.00036354424382797294,1.4950723733933204
the south,0.0007863367912229134,0.0005280439016686852,1.4891504072634683
